Tiitle,Company_name,Experience,Cities,Employment_type,Industry_type,Field1,Field2,Field3,Skills,Text,Text1
Executive - Credit Operations,Bajaj Finserv,0 - 3 years,Shirpur,  Duties and Responsibilities -  ,Banking,Executive - Credit OperationsBajaj Finserv4.0(4863 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description

Duties and Responsibilities -

To achieve Branch target on indicators Credit Metrics / Operations Metrics / Gold Loan Metrics. Training of Branch Sales on Policies Processes for Gold Loan / Consumer Durables / Vehicle refinance /other Products as when launched. Ensuring policy adherence and meeting the TAT.

Delivering Approval rate other critical SLA deliverables for Gold loan / Refinance loan, Cross sell CD business. Checking Valuation of Gold. Vaulting Safekeeping of Gold. Ensuring adherence to Vaulting Process Policies. Supporting Branch Cashier in resolution for Customer Service queries.

Provide Feedback to Regional /HO Authorities on Credit / Operations Process / Policies on a regular basis. Data Analysis Sharing of best practices with team. Coordinate with Sales ensuring mechanism in place for processing of files within desired TAT.

Coordination with various HO / Cross functional departments providing feedback. Vendor Management (CPV / Gold Testing Vendor). Ensuring Cost within Budget. Support in Branch Admin Activities. Maintain Minimal Errors in Audit Report published by HO.






 

RoleBack Office Executive
Industry TypeBanking
Functional AreaBFSI, Investments & Trading
Employment TypeFull Time, Permanent
Role CategoryBanking Operations
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Data analysisCredit operationsExecutiveBranch salesAudit reportConceptualizationGold loanConsumer durablesCustomer serviceBranch Administrator",Data analysisCredit operationsExecutiveBranch salesAudit reportConceptualizationGold loanConsumer durablesCustomer serviceBranch Administrator,Any Graduate,Any Postgraduate
Executive - Credit Operations,Bajaj Finserv,0 - 3 years,Akola,  Duties and Responsibilities -  ,Banking,Executive - Credit OperationsBajaj Finserv4.0(4863 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description

Duties and Responsibilities -

To achieve Branch target on indicators Credit Metrics / Operations Metrics / Gold Loan Metrics. Training of Branch Sales on Policies Processes for Gold Loan / Consumer Durables / Vehicle refinance /other Products as when launched. Ensuring policy adherence and meeting the TAT. Delivering Approval rate other critical SLA deliverables for Gold loan / Refinance loan, Cross sell CD business. Checking Valuation of Gold.

Vaulting Safekeeping of Gold. Ensuring adherence to Vaulting Process Policies. Supporting Branch Cashier in resolution for Customer Service queries. Provide Feedback to Regional /HO Authorities on Credit / Operations Process / Policies on a regular basis. Data Analysis Sharing of best practices with team. Coordinate with Sales ensuring mechanism in place for processing of files within desired TAT.

Coordination with various HO / Cross functional departments providing feedback. Vendor Management (CPV / Gold Testing Vendor). Ensuring Cost within Budget. Support in Branch Admin Activities. Maintain Minimal Errors in Audit Report published by HO.






RoleBack Office Executive
Industry TypeBanking
Functional AreaBFSI, Investments & Trading
Employment TypeFull Time, Permanent
Role CategoryBanking Operations
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Data analysisCredit operationsExecutiveBranch salesAudit reportConceptualizationGold loanConsumer durablesCustomer serviceBranch Administrator",Data analysisCredit operationsExecutiveBranch salesAudit reportConceptualizationGold loanConsumer durablesCustomer serviceBranch Administrator,Any Graduate,Any Postgraduate
Program Executive,Space Consultant,0 - 2 years,Bengaluru,,Recruitment / Staffing,Program ExecutiveSpace Consultant5.0(4 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job descriptionDear Candidate, We have currently openings for the position Program Executive with a reputed client. Designation -  Program ExecutiveLocation- Rajajinagar,  BangaloreQualification -  GraduateExperience -  Fresher/ experiencedSalary-  Fixed :  15 K Variable :  upto 10 K and even above WorkGender -  MaleJob Description : The Program Executive is managed by and reports functionally to the Program Coordinator.  The position is based in FOLK department of ISKCON Bangalore,  with regular travel within Bangalore,  to other campaign locations. Contribute to the development and implementation of FOLK s campaign strategies,  projects and campaign work in ISKCON.  Coordinate and register people to paid and unpaid workshops following the individual work plan designed by the organization with measurable performance objectives.  Undertake regular campaign work , which will involve all or some of the following techniques:  public communication and engagement activities and corporate work and the use of hospitable approaches to issues.  Coordinate and manage all logistical arrangements for various workshops as required,  including information gathering and facilitation to team,  Volunteers,  participants and other parties. Skills Required: Advanced English (spoken)  Ability to communicate effectively and appropriately with a wide range of people verbally Ability to make effective presentationsCommunicate effectively with prospective participants. Interested candidates please contact, RoleNon - Tech Support - Non Voice,Industry TypeRecruitment / Staffing,Functional AreaCustomer Success, Service & Operations,Employment TypeFull Time, PermanentRole CategoryNon VoiceEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsHelp DeskCustomer Servicedata analysiscustomer relationshipaccess controlsTechnologyTelephony supportAsset ManagementIntellectual PropertyVendor ManagementInformationCRM",Help DeskCustomer Servicedata analysiscustomer relationshipaccess controlsTechnologyTelephony supportAsset ManagementIntellectual PropertyVendor ManagementInformationCRM,Any Graduate,Post Graduation Not Required
Customer Care Executive,Space Consultant,0 - 2 years,Bengaluru,,Recruitment / Staffing,Customer Care ExecutiveSpace Consultant5.0(4 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description
The primary responsibilities of a Customer Service Executive would be : Answer calls professionally to provide information about products and services, take/ cancel orders, or obtain details of complaints. . . . Follow up to ensure that appropriate actions were taken on customers' requests.
RoleNon - Tech Support - Voice / Blended
Industry TypeRecruitment / Staffing
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Permanent
Role CategoryVoice / Blended
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Help DeskCustomer Servicedata analysiscustomer relationshipaccess controlsTelephony supportAsset ManagementIntellectual PropertyVendor ManagementInformationCRM",Help DeskCustomer Servicedata analysiscustomer relationshipaccess controlsTelephony supportAsset ManagementIntellectual PropertyVendor ManagementInformationCRM,Any Graduate,Post Graduation Not Required
Marketing Executive,Nive Systems,0 - 1 years,Bengaluru,,Consumer Electronics & Appliances,Marketing ExecutiveNive SystemsSend me jobs like thisApply,"Full Time, Permanent","Job descriptionBe responsible for designing and developing backend software,  primarily for the industrial test data applications. The engineer will engage directly with global customers.

Interface with customers to understand user requirements,  generate specifications,  design,  develop,  validate and deliver the software for production test applications

Preferred Skills/ Experience

Ability to work in AWS services from Compute,  Storage,  Networking and Security components

Having deep knowledge of VPC configuring,  Private/ Public Subnet,  NAT Gateway,  ELB with EC2,  Lambda,  S3,  EBS,  EFS,  Glacier,  RDS,  SQS,  SNS,  Cloudwatch and Cloud Formation

Hands- on experience with using Cloud Platform provided Big Data technologies (i.e. EC2,  EMR,  RedShift,  S3,  Kinesis)

Knowledge in Big Data technologies Hadoop,  Pig,  Hive and Spark

Strong analytical,  problem- solving,  data analysis and research skills

Experience in experience of Java (core java) and J2EE technologies,  Bash Scripts

Experience in migrating workload from on- premise to cloud and cloud to cloud migrations

Experience in programming of MapReduce,  Spark is a plusDesired Profile

Any Bachelor s degree

Excellent design /  debugging abilities

Good understanding of software design principles

Excellent communication and presentation skills

Must be detail- oriented; be able to multi- task and manage multiple projectsRoleDirect Marketing,Industry TypeConsumer Electronics & Appliances,Functional AreaMarketing & Communication,Employment TypeFull Time, PermanentRole CategoryMarketingEducationUG :Any GraduatePG :MBA/PGDM in MarketingKey SkillsData analysisSoftware designFinanceMarketing campaignsElectronicsOffice AdministratorResearchManagementMarketing ExecutiveProof reading",Data analysisSoftware designFinanceMarketing campaignsElectronicsOffice AdministratorResearchManagementMarketing ExecutiveProof reading,Any Graduate,MBA/PGDM in Marketing
E-Commerce & CRM Executive,Ramesh Kumar Company,0 - 2 years,Kolkata,Roles and Responsibilities,Textile & Apparel,E-Commerce & CRM ExecutiveRamesh Kumar CompanySend me jobs like thisApply,"Full Time, Permanent","Job description

Roles and Responsibilities




Responsible for the day-to-day activities and campaigns across:

a. E-commerce portals such as Amazon, Nykaa, Myntra, Firstcry and company-owned website based on Shopify

b. Managing online customer relations and feedback




Functional Responsibilities:




1. Catalogue listing and managing products across online portals. This includes:

a. Being responsible for the listing process - cataloguing and pricing

b. Monitoring and updating product data / images / specifications

c. Updating and overseeing marketplace/website-specific discounts as per the commercial calendar for sale or promotional events

d. Overseeing and resolving any issues/errors in pricing, listings, and other marketplace-related disputes




2. Monitoring sales and returns on the individual online selling channels and creating sales and returns reports




3. Managing online customer relations and feedback. This includes:

a. Monitoring online customer feedback and reaching out to customers for feedback and reviews

b. Being the main point of contact for all internal website queries





Skills and Experience



Intermediate to advanced knowledge of Excel and working knowledge of Microsoft Office
Fluent in English and Hindi with excellent verbal and written communication skills
Strong analytical and problem-solving skills.
Ability to multi-task, prioritize, and manage time effectively.






RoleOther
Industry TypeTextile & Apparel
Functional AreaOther
Employment TypeFull Time, Permanent
Role CategoryOther
Education
UG :Any Graduate
Key Skills
Communication SkillsE-commerceCRM
ExcelCataloguingData AnalysisData Entry
Skills highlighted with ‘‘ are preferred keyskills",Communication SkillsE-commerceCRM,Any Graduate,
Call Centre Executive,Right Step Consulting,0 - 1 years,Bangalore/Bengaluru,,Recruitment / Staffing,Call Centre ExecutiveRight Step ConsultingSend me jobs like thisApply,"Full Time, Permanent","Job description
Brief Role : We are currently looking for someone (comfortable in all south Indian languages and English, if not all, at least Tamil and Kannada is a must) with good experience into cold calling (70- 80 calls per day) who would communicate effectively with customers
RoleTelesales
Industry TypeRecruitment / Staffing
Functional AreaSales & Business Development
Employment TypeFull Time, Permanent
Role CategoryRetail & B2C Sales
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Help DeskCustomer Servicedata analysiscustomer relationshipaccess controlsTelephony supportAsset ManagementVendor ManagementInformation",Help DeskCustomer Servicedata analysiscustomer relationshipaccess controlsTelephony supportAsset ManagementVendor ManagementInformation,Any Graduate,Post Graduation Not Required
Marketing Support Executive,DISHMAN CARBOGEN AMCIS LIMITED,0 - 5 years,Ahmedabad,Roles and Responsibilities ,Pharmaceutical & Life Sciences,Marketing Support ExecutiveDISHMAN CARBOGEN AMCIS LIMITED3.8(78 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description

Roles and Responsibilities

Marketing Support activities

Market research & Market data analysis




Desired Candidate Profile

Good understanding of office management and marketing principles

Demonstrable ability to multi-task and adhere to deadlines

Well-organized with a customer-oriented approach

Good knowledge of market research techniques and databases

Exquisite communication and people skills

Well versed with MS Office

Multi-tasker with good time management skills

Should be based at Ahmedabad



RoleMarketing and Communication - Other
Industry TypePharmaceutical & Life Sciences
Functional AreaMarketing & Communication
Employment TypeFull Time, Permanent
Role CategoryMarketing and Communication - Other
Education
UG :Any Graduate
Key Skills
Market AnalysisBusiness DevelopmentMarketing SupportPharma MarketingMarket Research",Market AnalysisBusiness DevelopmentMarketing SupportPharma MarketingMarket Research,Any Graduate,
Sr. Executive MIS Profile,WSD CONSULTANT PRIVATE LIMITED,0 - 5 years,"Noida, Delhi / NCR",Required Candidate profile,Recruitment / Staffing,Sr. Executive MIS ProfileWSD CONSULTANT PRIVATE LIMITEDSend me jobs like thisApply,"Full Time, Permanent","Job description
Daily follow up for Transit TAT inward/ Outward
Courier vendor Management (focus on TAT, billing, CN & Payments)
Prepare weekly reports , monthly reports, dashboards
Handling claims , insurance and damage, maintaining records and tracking



Required Candidate profile

Handling Import / Export documentation, clearance and delivery
Handling Transit and claims, tracking and monitoring.
Excellent knowledge of Supply chain management process.
RoleMIS Executive
Industry TypeRecruitment / Staffing
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Permanent
Role CategoryOperations Support
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Export DocumentationMonthly ReportsImportInwardMISVendor ManagementSupply Chain ManagementClaims HandlingCourierRecord MaintenanceMIS Executive",Export DocumentationMonthly ReportsImportInwardMISVendor ManagementSupply Chain ManagementClaims HandlingCourierRecord MaintenanceMIS Executive,Any Graduate,Any Postgraduate
MIS Executive ( DME / DSS ),Job Square Consultancy,0 - 4 years,"Guwahati, Shegaon, Mumbai, Mumbai Suburban, Navi Mumbai, Goregaon", Education  ,Recruitment / Staffing,MIS Executive ( DME / DSS )Job Square Consultancy4.5(3 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description  Who has done sanjeev jain/ rahul jain course.    Who has terms like FMS/ IMS/ PMS mentioned in his CV. Advance excel , Google Sheet    Education     Graduate      RoleAccounts Manager,Industry TypeRecruitment / Staffing,Functional AreaFinance & Accounting,Employment TypeFull Time, PermanentRole CategoryAccounting & TaxationEducationUG :Any GraduatePG :Any PostgraduateKey SkillsMis Executive",Mis Executive,Any Graduate,Any Postgraduate
MIS Executive,TXN PLACEMENT PRIVATE LIMITED  ,0 - 3 years,"Pune( Shiva Nagar, Vasant Nagar, Bhavaninagar )",,BPO / Call Centre,MIS ExecutiveTXN PLACEMENT PRIVATE LIMITED  Send me jobs like thisApply,"Full Time, Permanent","Job description
Should be regular business updates - Sales MIS's
Should do data management & Dashboard Preparation
Month end data collection & data sharing with YBL
Should advance excel of sales contest MIS's
Should be experience and good knowledge of MIS automation
RoleNon - Tech Support - Voice / Blended
Industry TypeBPO / Call Centre
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Permanent
Role CategoryVoice / Blended
Education
UG :Graduation Not Required
Key Skills
excel knowledgeSalesData ManagementBankingOperations",excel knowledgeSalesData ManagementBankingOperations,Graduation Not Required,
Malyalam- MIS Executive/Project Coordinator,Innovative Incentives & Rewards Pvt Ltd.,0 - 2 years,"New Delhi, Delhi / NCR",Required Candidate profile,BPO / Call Centre,Malyalam- MIS Executive/Project CoordinatorInnovative Incentives & Rewards Pvt Ltd.2.8(13 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description
- Answers Calls Courteously & Professionally
- Provides Information about Products and Services
- Updates the CRM Accurately
- Timely Revert To Customers without any Missing Information



Required Candidate profile

-TAMIL language Required
-Excellent Communication Skills
-Strong Phone Contact Handling Skills & Active Listening
-Some Experience as Client Service Executive
-Familiarity with CRM Systems



Perks and benefits

Best in the Industry
RoleTelesales
Industry TypeBPO / Call Centre
Functional AreaSales & Business Development
Employment TypeFull Time, Permanent
Role CategoryRetail & B2C Sales
Education
UG :Graduation Not Required, Any Graduate
PG :Post Graduation Not Required
Key Skills
customer serviceTamil Languagecustomer support
bpovoicecustomer service executivecall centreinboundcustomer caretelecalling executivenon technical supporttele callervoice processtelecallingcustomer care executive
Skills highlighted with ‘‘ are preferred keyskills",customer serviceTamil Languagecustomer support,"Graduation Not Required, Any Graduate",Post Graduation Not Required
Malyalam- MIS Executive/ Coordinator,Innovative Incentives & Rewards Pvt Ltd.,0 - 2 years,Coimbatore,Required Candidate profile,BPO / Call Centre,Malyalam- MIS Executive/ CoordinatorInnovative Incentives & Rewards Pvt Ltd.2.8(13 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description
- Answers Calls Courteously & Professionally
- Provides Information about Products and Services
- Updates the CRM Accurately
- Timely Revert To Customers without any Missing Information



Required Candidate profile

-TAMIL language Required
-Excellent Communication Skills
-Strong Phone Contact Handling Skills & Active Listening
-Some Experience as Client Service Executive
-Familiarity with CRM Systems



Perks and benefits

Best in the Industry
RoleTelesales
Industry TypeBPO / Call Centre
Functional AreaSales & Business Development
Employment TypeFull Time, Permanent
Role CategoryRetail & B2C Sales
Education
UG :Graduation Not Required, Any Graduate
PG :Post Graduation Not Required
Key Skills
customer serviceTamil Languagecustomer support
bpovoicecustomer service executivecall centreinboundcustomer caretelecalling executivenon technical supporttele callervoice processtelecallingcustomer care executive
Skills highlighted with ‘‘ are preferred keyskills",customer serviceTamil Languagecustomer support,"Graduation Not Required, Any Graduate",Post Graduation Not Required
Urgent Hiring MIS Executive For Greater Noida,ADA TECH SOLUTIONS PRIVATE LIMITED,0 - 3 years,Greater Noida,Required Candidate profile,Education / Training,Urgent Hiring MIS Executive For Greater NoidaADA TECH SOLUTIONS PRIVATE LIMITEDSend me jobs like thisApply,"Full Time, Permanent","Job description
Must have knowledge about Google sheet, R python, and Excel sheet.

Should have knowledge about all the Formulas in excel.

Strong technical skills.

Location- Greater Noida

Salary- 15,000-30.000

Apply now..



Required Candidate profile

Minimum graduates.
Candidates must have good communication skills
Should be confident enough.
Minimum 6 months of experience in MIS
RoleData Entry / MIS
Industry TypeEducation / Training
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Permanent
Role CategoryBack Office
Education
UG :Any Graduate
Key Skills
Pivot TableBusiness StatisticsExcelVLOOKUPMISTechnical SupportFormulasTechnical AnalysisHLOOKUPManagement Information SystemQuantitative Techniques",Pivot TableBusiness StatisticsExcelVLOOKUPMISTechnical SupportFormulasTechnical AnalysisHLOOKUPManagement Information SystemQuantitative Techniques,Any Graduate,
MIS Executive,Creamy Foods Limited,0 - 1 years,Khurja,Required Candidate profile,Agriculture / Forestry / Fishing,MIS ExecutiveCreamy Foods Limited3.8(70 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description
Ability to work on data, and can generate various Reports, Work Closely with Senior Team to provide various MIS. Excellent grip in Advance Excel Advance Formulas. maintain daily, weekly, and monthly reports.



Required Candidate profile

Must have good knowledge of advance Excel Formulas, Pivots, Chart, Vlookup, Hlookup, Condition Formatting, Countif etc.
RoleData Entry / MIS
Industry TypeAgriculture / Forestry / Fishing
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Permanent
Role CategoryBack Office
Education
UG :B.Com in Any Specialization
PG :M.Com in Any Specialization
Key Skills
Male Candidates",Male Candidates,B.Com in Any Specialization,M.Com in Any Specialization
"MIS Executive
",Snaphunt,0 - 5 years,Delhi / NCR, ,Accounting / Auditing,"MIS Executive
SnaphuntSend me jobs like thisApply","Full Time, Permanent","Job description

Work alongside & learn from best in class talent
Excellent career development opportunities



Our client was established in the year 1971. It is a leading chartered accountancy firm rendering comprehensive professional services which include audit, management consultancy, tax consultancy, accounting services, manpower management, secretarial services etc.




The Job

Develop and maintain daily, weekly, and monthly operational analysis.
Generate and distribute management reports in accurate and timely manner.
Develops MIS documentation to allow for smooth operations and easy system maintenance.
Provide recommendations to update current MIS to improve reporting efficiency and consistency.
Generate both periodic and ad hoc reports as needed.
Understand client problems and provide appropriate technical solutions.
Analyse business information to identify process improvements for increasing business efficiency and effectiveness.
Establish a strong relationship with Team Managers and management through a demonstration of industry knowledge and of the business issues at hand.
Analyse current business processes and make recommendations for improvements.
Maintain thorough understanding of data and information resources.
Maintain a status on all projects and proactively communicate with management and customers.



The Profile



You possess Advance excel skills and a thorough knowledge of Google workspace.
You have analytical experience required.
You have a strong ability to analyze raw data, draw conclusions, and develop actionable recommendations.
You have a sound business decision-making ability.
You have the ability to handle multiple projects simultaneously.
You can communicate with people of various technical and business backgrounds.



Ref: AN1LAAEIL4



RoleData Science & Analytics - Other
Industry TypeAccounting / Auditing
Functional AreaData Science & Analytics
Employment TypeFull Time, Permanent
Role CategoryData Science & Analytics - Other
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
AccountancyManagement ReportingOperational AnalysisAccount ServicesAccountingMISAudit ManagementAdvanced ExcelTaxationAuditing",AccountancyManagement ReportingOperational AnalysisAccount ServicesAccountingMISAudit ManagementAdvanced ExcelTaxationAuditing,Any Graduate,Any Postgraduate
MIS Executive,ROAD BUILDING INTERNATIONAL(INDIA) PRIVATE LIMITED,0 - 3 years,Delhi / NCR( Saket ),Job Description *,Power,MIS ExecutiveROAD BUILDING INTERNATIONAL(INDIA) PRIVATE LIMITEDSend me jobs like thisApply,"Full Time, Permanent","Job description

Job Description *




Looking for an MIS executive to support the increase of work in our Procurement & logistics team primarily. As an MIS Executive, you will perform, Compile and build logic in data and provide delivery support and checks.




Roles and Responsibilities*

Devise and implement efficient and secure procedures for data management and analyse with attention to all technical aspects
Discover efficient ways to organize, store and analyse data with attention to security and confidentiality
To ensure that information flows timely and securely to and from the organization as well as within
Assist in Preparing of POs for Procurement & logistics team.
Monitor and analyses information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc)
Ensure the integrity, confidentiality and security of all datasets
Assist in applying Vlook-up, Pivot etc. and troubleshooting any data-related problems.
Helps in Research work from procurement & logistic departments.


Desired Candidate Profile



Experience 1-3 years in MIS field, knowledge of MS Office, Tally, bookkeeping. Fresher with desired knowledge is also preferred.    
B.com (Hons)/BBA with strong academics (minimum 60%) from a reputed institute.
Advanced excel certification will be an added advantage.





RoleMIS Executive
Industry TypePower
Functional AreaFinance & Accounting
Employment TypeFull Time, Permanent
Role CategoryFinance
Education
UG :B.B.A/ B.M.S in Management, B.Com in Any Specialization
Key Skills
Record KeepingBBATallyMISMaintain InventoryB.COM HonsAdvanced ExcelMS Office",Record KeepingBBATallyMISMaintain InventoryB.COM HonsAdvanced ExcelMS Office,"B.B.A/ B.M.S in Management, B.Com in Any Specialization",
MIS Executive,Sosyo Hajoori Beverages Private Limited,0 - 5 years,Surat,  Roles and Responsibilities ,FMCG,MIS ExecutiveSosyo Hajoori Beverages Private Limited2.9(12 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description



Roles and Responsibilities

- MIS Executive for Reputed FMCG COMPANY at surat location Candidate should be have good communication skill,good knowledge of MS Office, excellent knowledge of MS Excel and good typing speed,Maintain a sufficient record of office supplies Provide administrative services to the office manager Answer, screen and forward any incoming phone calls while providing basic information when needed.




Desired Candidate Profile

- Downloading Data from Systems and mapping the same as per the requirement, coordinating with different teams for the data and checking its accuracy.

- Preparing Daily, Weekly & Monthly MIS Reports.

- Preparing presentations, Graphs and analytical reports.

- Should be a TEAM PLAYER and flexible enough for multitasking

- Coordinating with the branches for feedback and different requirements.

- Support the Manager in rolling out the new Projects and Initiatives and also updating on the progress and its impact

- Ad-hoc analysis : prepare ad-hoc analysis on Operations data upon requests, using corporate Business Intelligence tool and customizing queries

- Preferably an added advantage if aware of banking terminologies likeGNPA,OUTSTANDING,DATERS,EXPOSURE DPD, DELIQUENT, INFANT, and its implications/understanding reports




Perks and Benefits




RoleSales Operations / Enablement
Industry TypeFMCG
Functional AreaSales & Business Development
Employment TypeFull Time, Permanent
Role CategorySales Support & Operations
Education
UG :Any Graduate
Key Skills
AdministrationExcelTyping SpeedPhoneOffice ManagementMS Office",AdministrationExcelTyping SpeedPhoneOffice ManagementMS Office,Any Graduate,
Sr. Manager/ AGM,T & A Solutions,0 - 5 years,Mohali, ,Recruitment / Staffing,Sr. Manager/ AGMT & A SolutionsSend me jobs like thisApply,"Full Time, Permanent","Job description        Skills & Competencies:     i   Technical  : Customer Service, SAP , Planning & Supply Chain tools , MS office ( high proficiency in Excel ), Working knowledge in Logistics managements    ii   Generic:   People Management, Planning and Organizing , Data Analysis, Stress tolerance, Communication & presentation    f  Areas of expertise required  : Managing Customers / Key Accounts for Supply in a dynamic Environment    RoleProcurement / Purchase Manager,Industry TypeRecruitment / Staffing,Functional AreaProcurement & Supply Chain,Employment TypeFull Time, PermanentRole CategoryProcurement & PurchaseEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsSupply chainData analysisboschAutomobileSAPCVToolsCustomer serviceMS OfficeLogistics",Supply chainData analysisboschAutomobileSAPCVToolsCustomer serviceMS OfficeLogistics,Any Graduate,Post Graduation Not Required
Trainee Senior Chemist,RUBAMIN PRIVATE LIMITED,0 - 5 years,Halol,Roles and Responsibilities ,Chemicals,Trainee Senior ChemistRUBAMIN PRIVATE LIMITED3.3(60 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description

Roles and Responsibilities



Handling of R & D equipment and related documents
Designing and carrying out R & D Experiments
Data interpretation and report writing
Feasibility studies of different Raw material
Calibration of test and measuring instruments.
Coordination with plant in charge
General maintenance of Housekeeping/up keeping of Lab.
Facilitating/Support to ISO documentation
Safety Initiatives



Education Qualification:

MSc from any renowned universitiy with Inorganic Chemistry/ Applied Chemistry/



RoleResearch Associate / Engineer
Industry TypeChemicals
Functional AreaResearch & Development
Employment TypeFull Time, Permanent
Role CategoryPharmaceutical & Biotechnology
Education
UG :B.Sc in Chemistry
PG :MS/M.Sc(Science) in Chemistry
Key Skills
Applied ChemistryR&DIndustrial ChemistryData InterpretationData AnalysisInorganic Chemistry",Applied ChemistryR&DIndustrial ChemistryData InterpretationData AnalysisInorganic Chemistry,B.Sc in Chemistry,MS/M.Sc(Science) in Chemistry
Sr.Lecturer,Medident Jobs,0 - 1 years,"Hyderabad, Chennai",,Recruitment / Staffing,Sr.LecturerMedident JobsSend me jobs like thisApply,"Full Time, Permanent","Job description
Urgently required ORTHODONTICS AND PROSTHDONTICS Sr.Lecturer to Work in reputed Dental College
RoleProfessor
Industry TypeRecruitment / Staffing
Functional AreaTeaching & Training
Employment TypeFull Time, Permanent
Role CategoryUniversity Level Educator
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Help DeskCustomer Servicedata analysiscustomer relationshipTelephony supportInformation",Help DeskCustomer Servicedata analysiscustomer relationshipTelephony supportInformation,Any Graduate,Any Postgraduate
Senior Manager,Agreeya,0 - 12 years,Chennai,,IT Services & Consulting,Senior ManagerAgreeya3.0(76 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description          Responsible Functions          Manage or lead effort for development of the Application from requirements          Manage expectation regarding road blocks, proactively, in the critical path to help ensure successful delivery of the solution         Own all projects deliverables and ensure proper communication between teams and quality levels; responsible for end to end solution delivery         Comprehend the fundamental solution being developed/deployed - its business value blueprint how it fits with the overall architecture, risks, and more.         Ability to break down a vague business problem into structured data analysis approaches the Ability to work with incomplete information and take judgment-driven decisions based on experience.         Define business functional and reporting requirements of our healthcare IT solutions with key subject matter experts (SMEs) and clients through a variety of interviewing and facilitation techniques by conducting JAD sessions          Analyze and define thebusiness problem and primary objectives of new projects. Identify and validate the key business requirements to create a complete picture of work-flows and technical requirements fulfilled by existing and proposed software.         Collaborate as a liaison between Business user and technical solutions/support groups, using advanced Communication skills to elicit, document, Analyze and validate client requirements.         Evaluate potential product solutions, including off-the-shelf and open source components, and the system architecture to ensure that they meet business requirements.         Work with User Stories to create, prioritize in backlog, sprint, DOD and releases using Jira more effectively.         Interface with Business team to conduct product demonstrations, evaluate, prioritize and build new features and tools for quick deliverables.         Perform requirements review with external and internal stakeholders and resolve issues while suggesting corrective actions.         Interact with internal and external stake holders to analyze and develop business requirement documents (BRD) and Functional specification document (FSD).         Collaborate with development team (including architecture, coding testing teams) to produce/maintain additional product and project deliverables in technical design, testing program specifications, additional test scenarios and project plan.         Drive business metrics that will help optimize business also deep dive into data for insights as required          Essential Functions          Multi-disciplinary technologist who enjoys designing, executing and selling Healthcare solutions, and being on the front-line of client communications and selling strategies         Deep understanding of the US Healthcare value chain and key impact drivers [Payer and/or Provider]         Knowledgeable and cognizant of how data management and science is used to solve organizational problems in the healthcare context         Hands-on experience in two (or more) areas of the data and analytics technical domains - Enterprise cloud data warehousing, integration, preparation, and visualization along with artificial intelligence, machine learning, data science, data modeling, data management, and data governance         Strong problem solving and analytical skills and the ability to ""roll up your sleeves” and work with a client to create timely solutions and resolutions         Experience ramping up analytics programs with new clients, including integrating with work of other teams to ensure analytics approach is aligned with operations         Ability to engage in consultative selling          Primary Internal Interactions         Review with the Overall Product Manager AVP for improvements in the product development lifecycle       Assessment meeting with VP above for additional product development features.       Train Mentor juniors in the team on a need basis.         Primary External Interactions       C   ommunicate with onshore stakeholder Executive Team Members.       Help the Product Management Group set the product roadmap help in identifying future sellable product features.        Client Interactions to better understands expectations streamline solutions. If required should be a bridge between the client and the technology teams.          RoleBusiness Analyst,Industry TypeIT Services & Consulting,Functional AreaData Science & Analytics,Employment TypeFull Time, PermanentRole CategoryBusiness Intelligence & AnalyticsEducationUG :B.Tech/B.E. in ComputersPG :M.Tech in ComputersKey SkillsData analysisClaimsData managementCodingCognosmicrosoftUS healthcareOracleBusiness intelligenceAnalytics",Data analysisClaimsData managementCodingCognosmicrosoftUS healthcareOracleBusiness intelligenceAnalytics,B.Tech/B.E. in Computers,M.Tech in Computers
